title,link,published,source,region,country_code
6Gの未来を広げる周波数「7GHz帯」実証実験で新たな通信エリアを構築 | 企業・IR - ソフトバンク,https://news.google.com/rss/articles/CBMibEFVX3lxTFBvVGNRXzFBRVRqam5Jb3hUV0xfMVVnN0dodUpycVpyTUlRLUMwQzlER21uaHZoZDVQYTRyVGVKbk11QmNDa2N4QzRpQUh2OThXNnh2LV8wWWR1SmJBODZKVW9DejBQamdPNVVrbQ?oc=5,2026-01-07 00:16:26,ソフトバンク,Japan,JP
6Gに向けたAI活用無線インターフェースの屋外実証試験に成功 - docomo.ne.jp,https://news.google.com/rss/articles/CBMibkFVX3lxTE5YYl93czEwY0Y3MHVwMWNkZWNJWW1TTDlqZFVfMVZEdkRwdXpoa1pXaGFSaEszOU1YV0lVUTdnUV9pbTZuVFJmNm5CaVNVVVJmZUN6cVdTelhZcjFvZlV4SkRKX3BybDVXTHdxVjlB?oc=5,2025-11-17 08:00:00,docomo.ne.jp,Japan,JP
衛星通信、感覚の共有、遠隔操作、AI基地局……「6G」に向かう20兆円規模の巨大インフラ産業を解剖！ 書籍『通信ビジネス』2026年1月9日発売 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE5PZDJfczJKWDBNSzNjYTNWVFJxdGNVSUZJZmQ5ZHVyTzdlT0VENWxGS2NSVmtuMTV3S3RBU2VVTlNxYXNkamxBQXQ1aFNHSnN5NDhvMVNITjFMaWo3bTdKYnBSclNYbV9XMVE?oc=5,2026-01-09 02:00:03,PR TIMES,Japan,JP
旭化成と名古屋大、次世代半導体トランジスタ開発 6G通信など向け - 日本経済新聞,https://news.google.com/rss/articles/CBMibEFVX3lxTFAtaXAyeTdyZEdBWmNqU1ZZY0V3UXIwYS1VaVd0eHBYQnRxZ0hxSGRHRmRqeEVBQ1JETkFpb0lVbzhSY0h2R3Ffdl94c3VwLUUxbXFta2lqMFNSdlo2NFFia2V2V0ZGdElPMVNuYw?oc=5,2026-01-05 02:00:00,日本経済新聞,Japan,JP
６Gの普及を見据えて押さえるべき関連銘柄とは？ - QUICK Money World,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5qS0hiSkd3V2lITHdUeG95aGVqVjRGV2hqUGJpZFhZUkh3YTVMVVdlSUI0eTdDMkxaSjNwYXUzR2xTc2NKOU1NSGpnUnFkdm9JTXZuWkFR?oc=5,2025-10-15 08:00:00,QUICK Money World,Japan,JP
通信事業者は6Gをスマートパイプへのチャンスに - icr.co.jp,https://news.google.com/rss/articles/CBMibkFVX3lxTFBzc1lMN3pSSWJrYXBHVFJ5QmtzNTMzM2JrZFcxMmZsX2c4czM0Mnk5X3NfUzJTNXZXQnFwS3dpd0RGSGR2Ujg5SHRBVHdQWFFXTUpSN1BTUmhickljN2JMYmxkZ2VoNGVCTnVJbGJR?oc=5,2025-12-24 23:07:31,icr.co.jp,Japan,JP
6Gは「シンプル」を最優先に 5Gの教訓から考える成功条件 - ビジネスネットワーク,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5WRWw4RXVjcG0xQ3I2WmVvblZxTnBCZFM1V3k3bkVPLTkxNXZIWjdxUFhIRnZlQU9nbElha2xRVHFzMDR6dFY0c3ZYeTJRYWFaekRv?oc=5,2025-08-18 08:00:00,ビジネスネットワーク,Japan,JP
KDDI総合研究所とノキア ベル研究所、6Gの実用化に向けた研究開発に関する共同研究契約を締結 - kddi-research.jp,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5NWnJvOTNqM2tMUmszU3pGT3JsMFNXSERlYXV0N09DS3pwSFNCSUhZN255N21Md3FvNk43aGwycV9XZF9KUDdrT0MwMEJjcUR4aDE5VGZiOG1nOTdTWmM5NGNlTTlqMnZV?oc=5,2025-11-06 08:00:00,kddi-research.jp,Japan,JP
ソフトバンク、7GHz帯で広域カバーを確認 6G時代の都市実証が予想以上の成果に - ケータイ Watch,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5ieWhGZlBBVmJwU2JYV3NrU05UaXJOd2lXSzZPMG9jdjNhQUxLZnB2UUhhYl9ZY1duekRaRTEySW1qVk4zMDNZVVpWYVhlN1JRcW5abHAwLXFnMzM2MzlNWklWWXBHME0?oc=5,2025-11-19 08:00:00,ケータイ Watch,Japan,JP
6Gとその先へ：コネクティビティの新章 - L&T Technology Services,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9YTjNvb2JXYkphUXBneV9yaGd2M2lZUS1sYzFRakdISTVKQW9ueVhsVmpBbEUxYnhDeDRtbUVqc2gwa05jTG11eElIVFYzdFk?oc=5,2025-10-11 16:37:48,L&T Technology Services,Japan,JP
